b'ACADEMIC-YEAR ',b' SEMESTER',b' COURSE No. ',b' COURSE TITLE '
b' 2014-15 ',b'1',b' TA101A ',b' ENGINEERING GRAPHICS '
b' 2014-15 ',b'1',b' PHY102A ',b' PHYSICS-I '
b' 2014-15 ',b'1',b' PHY101A ',b' PHYSICS LABORATORY '
b' 2014-15 ',b'1',b' PE101A ',b' MORNING EXERCISE '
b' 2014-15 ',b'1',b' MTH101A ',b' MATHEMATICS I '
b' 2014-15 ',b'1',b' LIF101A ',b' INTRODUCTION TO BIOLOGY '
b' 2014-15 ',b'1',b' ECO101A ',b' INTRODUCTION TO ECONOMICS '
b' 2014-15 ',b'2',b' CHM101A ',b' CHEMISTRY LABORATORY '
b' 2014-15 ',b'2',b' CHM102A ',b' GENERAL CHEMISTRY '
b' 2014-15 ',b'2',b' ESC101A ',b' FUNDAMENTAL OF COMPUTING '
b' 2014-15 ',b'2',b' MTH102A ',b' MATHEMATICS - II '
b' 2014-15 ',b'2',b' PE102A ',b' EVENING EXERCISE '
b' 2014-15 ',b'2',b' PHY103A ',b' PHYSICS-II '
b' 2014-15 ',b'3',b' MTH102A ',b' MATHEMATICS - II '
b' 2014-15 ',b'3',b' PHY103A ',b' PHYSICS-II '
b' 2015-16 ',b'1',b' TA201A ',b' MANUFACTURING PROCESSES I '
b' 2015-16 ',b'1',b' ESO206A ',b' PRINCIPLES OF BIOTECHNOLOGY '
b' 2015-16 ',b'1',b' ESO203A ',b' INTRODUCTION TO ELECTRICAL ENGINEERING '
b' 2015-16 ',b'1',b' ESC201A ',b' INTRODUCTION TO ELECTRONICS '
b' 2015-16 ',b'1',b' BSE211A ',"b' ORGAN SYSTEM, PHYSIOLOGY AND ANATOMY '"
b' 2015-16 ',b'2',b' TA202A ',b' MANUFACTURING PROCESSES II '
b' 2015-16 ',b'2',b' PHI141A ',b' INTRODUCTION TO PHILOSOPHY '
b' 2015-16 ',b'2',b' ESO202A ',b' MECHANICS OF SOLIDS '
b' 2015-16 ',b'2',b' ESO201A ',b' THERMODYNAMICS '
b' 2015-16 ',b'2',b' COM200 ',b' COMMUNICATION SKILLS: COMPOSITION '
b' 2015-16 ',b'2',b' AE251A ',b' EXPERIMENTS IN AEROSPACE ENGINEERING-I '
b' 2015-16 ',b'3',b' MSO202A ',b' COMPLEX VARIABLES '
b' 2015-16 ',b'3',b' MSO203B ',b' PARTIAL DIFFERENTIAL EQUATIONS '
b' 2016-17 ',b'1',b' AE201A ',b' INTRODUCTION TO AEROSPACE ENGINEERING '
b' 2016-17 ',b'1',b' AE321A ',b' FLIGHT MECHANICS I '
b' 2016-17 ',b'1',b' AE331A ',b' INTRODUCTION TO AEROSPACE STRUCTURES '
b' 2016-17 ',b'1',b' ESO201A ',b' THERMODYNAMICS '
b' 2016-17 ',b'1',b' ESO204A ',b' FLUID MECHANICS AND RATE PROCESSES '
b' 2016-17 ',b'1',b' ESO209A ',b' DYNAMICS '
b' 2016-17 ',b'1',b' MSO203B ',b' PARTIAL DIFFERENTIAL EQUATIONS '
